City ->;Malmö;;;Östersund;;;Kiruna;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2013/03/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
