City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2021/01/01;-3;2;Clear;0;3;Mostly Cloudy;2;4;Cloudy;0;2;Fog;-4;0;Snow Shower
2021/01/02;-2;0;Fog;0;3;Mostly Cloudy;1;2;Cloudy;0;1;Cloudy;-6;-1;Cloudy
2021/01/03;0;3;Light Rain / Freezing Rain;0;4;Cloudy;0;3;Cloudy;-2;1;Cloudy;-10;-6;Cloudy
2021/01/04;1;3;Fog;2;4;Mostly Cloudy;0;2;Cloudy / Wind;-3;0;Cloudy;-10;-7;Clear
2021/01/05;0;2;Fog;1;3;Fair;1;3;Cloudy / Wind;-1;0;Mostly Cloudy;-13;-8;Fog
2021/01/06;0;1;Cloudy;0;5;Mostly Cloudy;1;2;Snow / Wind;-2;-1;Mostly Cloudy;-17;-11;Fog
2021/01/07;0;0;Snow;-3;2;Cloudy;1;2;Cloudy / Wind;-2;-1;Snow;-13;-8;Cloudy
2021/01/08;-1;1;Clear;-2;2;Fog;1;3;Cloudy;-1;0;Light Snow;-15;-8;Snow Shower
2021/01/09;-2;0;Mostly Cloudy;-3;2;Fog;0;3;Cloudy / Wind;-3;0;Cloudy;-14;-5;Cloudy
2021/01/10;-2;0;Mostly Cloudy;-3;1;Fog;-1;3;Cloudy;-3;0;Cloudy;-11;-4;Mostly Cloudy
2021/01/11;-6;0;Fog;1;8;Mist;1;5;Cloudy;-1;2;Mostly Cloudy;-12;-6;Fair
2021/01/12;-3;1;Fair;0;9;Mostly Cloudy;0;5;Rain / Wind;-6;1;Light Snow;-9;-2;Snow
2021/01/13;0;2;Partly Cloudy;0;10;Mist;0;2;Clear;-5;-1;Mostly Cloudy;-13;-6;Cloudy
2021/01/14;-1;1;Cloudy;2;9;Cloudy;-1;1;Partly Cloudy / Wind;-7;-1;Snow Grains / Wind;-17;-12;Snow Shower
2021/01/15;-2;0;Snow Shower;-1;3;Clear;-6;-1;Cloudy;-13;-7;Mostly Cloudy;-17;-8;Clear
2021/01/16;-6;-2;Mostly Cloudy;0;8;Mostly Cloudy;-6;1;Clear;-13;-6;Cloudy;-16;-8;Clear
2021/01/17;-6;-2;Cloudy;2;7;Clear;0;1;Cloudy;-6;-2;Cloudy;-21;-15;Clear
2021/01/18;-7;1;Clear;0;8;Fair;-1;2;Cloudy;-3;-1;Cloudy;-22;-16;Clear
2021/01/19;1;2;Rain Shower;8;10;Light Rain;1;3;Showers in the Vicinity;-2;1;Light Snow;-21;-13;Fog
2021/01/20;0;8;Mostly Cloudy;8;9;Light Rain;2;6;Rain;0;3;Light Snow;-13;-5;Cloudy
2021/01/21;0;5;Clear;2;8;Partly Cloudy;5;7;Rain Shower;2;3;Mostly Cloudy;-5;-1;Snow
2021/01/22;2;13;Clear;0;7;Clear;4;7;Clear / Wind;0;3;Partly Cloudy;-3;1;Cloudy
2021/01/23;0;5;Cloudy;-2;4;Partly Cloudy;3;5;Cloudy / Wind;0;3;Cloudy / Wind;-9;-3;Snow Shower
2021/01/24;0;2;Mostly Cloudy;-4;2;Clear;0;3;Partly Cloudy;-2;0;Mostly Cloudy;-10;-7;Snow Shower
2021/01/25;-1;2;Mostly Cloudy;-1;5;Partly Cloudy;0;2;Cloudy;-2;0;Cloudy;-13;-8;Cloudy
2021/01/26;-3;0;Mostly Cloudy;-2;6;Clear;-2;1;Cloudy;-7;-2;Mostly Cloudy;-15;-9;Clear
2021/01/27;-2;2;Mostly Cloudy;6;9;Fog;-2;2;Clear;-8;-2;Fair;-17;-11;Fog
2021/01/28;0;3;Mostly Cloudy;8;13;Light Rain;-2;2;Snow;-6;-2;Light Snow;-19;-12;Fog
