City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2018/01/01;1;8;Fair;4;7;Clear;5;7;Cloudy / Wind;1;3;Rain Shower;-5;0;Cloudy
2018/01/02;1;6;Mostly Cloudy;3;11;Partly Cloudy;4;6;Mostly Cloudy;2;3;Mostly Cloudy;-5;0;Clear
2018/01/03;0;7;Mostly Cloudy / Wind;6;11;Mostly Cloudy;2;6;Rain;1;2;Mostly Cloudy;-15;-5;Cloudy
2018/01/04;4;6;Clear;6;12;Fair;3;6;Mostly Cloudy;0;1;Mostly Cloudy;-11;-5;Snow
2018/01/05;5;10;Cloudy;2;8;Clear;2;4;Snow Shower;0;1;Mostly Cloudy;-7;-5;Mostly Cloudy
2018/01/06;4;11;Clear;1;5;Mostly Cloudy;-1;3;Cloudy;-6;0;Fair;-9;-5;Clear
2018/01/07;2;5;Cloudy;2;5;Fair;-3;0;Clear / Wind;-9;0;Fair;-7;-3;Clear / Wind
2018/01/08;2;3;Cloudy;3;4;Mostly Cloudy;0;2;Fog;-1;1;Mist;-5;1;Partly Cloudy
2018/01/09;3;10;Clear;3;7;Mostly Cloudy;0;5;Fair / Wind;-5;0;Cloudy;-15;0;Clear
2018/01/10;3;6;Fog;0;10;Clear;3;5;Rain;-1;2;Rain;-17;-11;Clear
2018/01/11;2;5;Cloudy;0;6;Cloudy;2;3;Cloudy / Wind;-2;1;Mostly Cloudy;-20;-11;Clear
2018/01/12;1;4;Cloudy;4;6;Mostly Cloudy;1;3;Cloudy / Wind;-2;0;Snow Shower;-17;-11;Cloudy
2018/01/13;-1;2;Cloudy;3;7;Mostly Cloudy;0;2;Cloudy;-3;-1;Cloudy;-17;-12;Clear
2018/01/14;-2;0;Cloudy;2;6;Cloudy;-1;1;Cloudy;-3;-2;Mostly Cloudy;-15;-5;Mostly Cloudy
2018/01/15;-2;0;Cloudy;5;10;Partly Cloudy;-1;2;Cloudy / Wind;-3;-1;Mostly Cloudy / Wind;-6;-4;Cloudy / Wind
2018/01/16;-1;5;Clear;1;7;Mostly Cloudy;1;4;Rain;-1;1;Mostly Cloudy;-4;-1;Snow / Wind
2018/01/17;0;3;Mostly Cloudy;2;7;Fair;0;3;Cloudy;-1;0;Mostly Cloudy;-7;-1;Snow Shower
2018/01/18;0;6;Clear / Wind;2;10;Fair;0;2;Cloudy / Wind;-3;-1;Mostly Cloudy;-11;-7;Mostly Cloudy
2018/01/19;0;3;Cloudy;0;6;Partly Cloudy;0;1;Cloudy;-7;-1;Fog;-12;-6;Cloudy
2018/01/20;-1;2;Mostly Cloudy;1;5;Mostly Cloudy;0;2;Light Rain;-5;-1;Snow Shower;-8;-5;Fair
2018/01/21;-2;2;Partly Cloudy;0;11;Rain;0;2;Cloudy;-10;-1;Clear;-17;-7;Cloudy
2018/01/22;-2;0;Snow Shower;7;11;Cloudy;0;1;Cloudy;-5;-2;Mist;-14;-11;Snow Shower
2018/01/23;-1;5;Clear;7;11;Light Drizzle;0;2;Cloudy / Wind;-7;0;Freezing Drizzle;-17;-5;Partly Cloudy
2018/01/24;2;10;Clear;5;11;Light Rain;3;7;Cloudy / Wind;0;7;Light Rain / Wind;-5;2;Snow / Wind
2018/01/25;1;8;Clear;4;10;Fair;3;7;Mostly Cloudy / Wind;2;5;Partly Cloudy;0;2;Fair
2018/01/26;0;3;Clear;0;6;Partly Cloudy;1;3;Cloudy;1;3;Mostly Cloudy;-4;0;Partly Cloudy
2018/01/27;0;3;Mist;0;10;Cloudy;2;5;Cloudy;-1;2;Cloudy;-7;-2;Clear
2018/01/28;1;8;Cloudy;8;12;Mostly Cloudy;3;6;Cloudy / Wind;0;5;Mostly Cloudy;-6;-1;Snow
