City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2017/01/01;-7;-5;Fog;3;8;Rain;2;7;Clear;-1;7;Clear;-2;1;Fair
2017/01/02;-7;0;Mostly Cloudy;0;5;Clear;-2;1;Clear;-8;0;Clear;-7;-1;Partly Cloudy
2017/01/03;-3;1;Snow Shower;-4;5;Fair;-1;5;Clear / Wind;-8;2;Snow;-7;-5;Cloudy
2017/01/04;-1;2;Mostly Cloudy;0;8;Fair;-4;3;Mostly Cloudy / Wind;-7;0;Mostly Cloudy;-20;-6;Clear
2017/01/05;-8;-1;Mostly Cloudy;-2;4;Clear;-8;-4;Clear;-16;-7;Clear;-21;-18;Mostly Cloudy
2017/01/06;-10;-6;Partly Cloudy;-3;5;Drizzle;-11;-2;Partly Cloudy;-18;-6;Cloudy;-18;-6;Snow
2017/01/07;-14;-6;Snow Shower;6;11;Cloudy;-2;0;Cloudy;-6;-1;Cloudy;-7;0;Partly Cloudy
2017/01/08;-7;-3;Cloudy;6;11;Mist;-2;0;Cloudy;-5;1;Mist;-2;3;Partly Cloudy
2017/01/09;-3;-1;Cloudy;3;10;Clear;0;2;Cloudy / Wind;1;3;Mostly Cloudy;0;2;Fair
2017/01/10;-12;-1;Clear;2;8;Mostly Cloudy;0;2;Cloudy / Wind;-1;1;Mist;0;3;Mostly Cloudy / Wind
2017/01/11;-16;0;Mostly Cloudy;4;10;Fair;0;3;Fair / Wind;-1;2;Mostly Cloudy;-1;2;Cloudy
2017/01/12;0;3;Cloudy;0;7;Mostly Cloudy;2;3;Clear / Wind;0;2;Mostly Cloudy;-7;-1;Cloudy
2017/01/13;0;3;Cloudy;0;5;Clear;-1;2;Cloudy;-1;0;Cloudy;-8;-6;Mostly Cloudy
2017/01/14;-1;1;Mostly Cloudy;-1;5;Partly Cloudy;-1;1;Cloudy;-5;1;Cloudy;-7;-4;Fair
2017/01/15;-2;1;Mostly Cloudy;0;8;Mostly Cloudy;-2;0;Clear;-8;-3;Fair;-8;-1;Mostly Cloudy
2017/01/16;-5;0;Mostly Cloudy;2;6;Mostly Cloudy;-5;-1;Mostly Cloudy;-10;-2;Mostly Cloudy;-12;-1;Partly Cloudy
2017/01/17;-6;-1;Mostly Cloudy;-3;5;Fair;-3;0;Snow;-5;0;Snow;-10;1;Partly Cloudy
2017/01/18;-10;-3;Clear;-5;3;Clear;0;2;Cloudy / Wind;0;3;Mostly Cloudy;0;5;Cloudy / Wind
2017/01/19;-12;-7;Cloudy;-3;5;Fair;2;5;Cloudy;3;6;Mostly Cloudy;-1;5;Mostly Cloudy
2017/01/20;-12;-6;Mist;-3;5;Clear;3;6;Clear;1;7;Fair;-1;1;Partly Cloudy
2017/01/21;-10;-2;Clear;-5;3;Haze;0;3;Fog;-2;6;Patches of Fog;1;4;Cloudy
2017/01/22;-10;-1;Clear;-6;5;Mist;0;2;Cloudy;-2;1;Mostly Cloudy;2;3;Partly Cloudy
2017/01/23;-10;-3;Cloudy;-5;3;Clear;1;2;Cloudy;0;2;Clear;0;3;Mostly Cloudy
2017/01/24;-6;-4;Cloudy;-2;9;Clear;1;3;Cloudy;-1;1;Partly Cloudy;-2;0;Partly Cloudy
2017/01/25;-3;-1;Cloudy;-2;3;Mist;1;3;Cloudy;1;3;Mostly Cloudy;-2;3;Clear
2017/01/26;-6;1;Clear;-3;0;Haze;-1;1;Fog;-1;2;Mist;0;6;Clear
2017/01/27;-8;-1;Fair;-3;6;Clear;-2;1;Fair;-5;-1;Clear;-5;0;Clear
2017/01/28;-8;-5;Mist;3;9;Clear;0;2;Clear;-7;-2;Fog;-2;0;Partly Cloudy
2017/01/29;-10;-5;Clear;3;9;Drizzle;0;2;Cloudy;-7;1;Mist;-2;0;Snow
