City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2015/01/01;-1;3;Clear;4;11;Cloudy;4;6;Mist/Windy;3;6;Cloudy;2;6;Fair
2015/01/02;-1;3;Partly Cloudy;2;12;Clear;4;7;n/a;3;8;Partly Cloudy;0;3;Partly Cloudy/Windy
2015/01/03;1;3;Light Snow;2;12;Mostly Cloudy;3;5;n/a;-1;4;n/a;-2;1;n/a
2015/01/04;0;4;Light Snow;1;3;Fog;1;3;n/a;-3;0;n/a;-3;-2;Partly Cloudy
2015/01/05;0;2;Cloudy;2;10;Mostly Cloudy;1;2;n/a;-9;0;n/a;-7;-1;Fair
2015/01/06;-3;2;Clear;1;10;Clear;1;3;n/a;-4;0;Mostly Cloudy;-5;1;Mostly Cloudy
2015/01/07;-4;-1;Cloudy;-2;9;Mostly Cloudy;1;4;n/a;-2;2;Mostly Cloudy;-2;2;Fair
2015/01/08;-2;7;Light Rain;6;11;Clear;4;5;n/a;2;5;Partly Cloudy;-2;2;Fair
2015/01/09;3;9;Cloudy/Windy;9;14;Mostly Cloudy;2;5;Light Rain/Windy;0;3;Light Snow;-6;-1;Fair
2015/01/10;5;14;Cloudy/Windy;3;13;Clear;2;8;n/a;0;4;Drizzle/Windy;-11;-6;Light Snow
2015/01/11;2;6;Partly Cloudy;3;8;Cloudy;3;4;n/a;-5;4;Mostly Cloudy;-17;-10;Fair
2015/01/12;3;5;Cloudy;8;11;Light Rain;3;7;Light Rain;-5;5;Mostly Cloudy;-20;-12;Heavy Snow
2015/01/13;5;12;Clear;3;11;Partly Cloudy;4;7;n/a;1;3;Mostly Cloudy;-14;-3;Fair
2015/01/14;2;11;Clear;2;9;Rain Shower;1;5;n/a;0;2;Mostly Cloudy;-19;-12;Fair
2015/01/15;-2;6;Fair;6;10;Partly Cloudy;2;6;Light Rain/Windy;0;3;Light Snow;-18;-1;Light Snow
2015/01/16;0;5;Cloudy;-1;6;Partly Cloudy;5;6;n/a;2;4;Mostly Cloudy;-1;2;Fair
2015/01/17;1;4;Clear;-3;6;Clear;3;5;n/a;0;2;Partly Cloudy;-2;3;Light Snow
2015/01/18;1;4;Cloudy;-1;4;Clear;2;3;n/a;0;2;Mostly Cloudy;-6;-1;Light Snow Grains
2015/01/19;0;2;Cloudy;-2;3;Partly Cloudy;1;3;n/a;-1;0;Mostly Cloudy;-10;-5;Light Snow
2015/01/20;-1;2;Cloudy;-4;4;Clear;1;3;Light Rain;-2;0;Snow Grains;-11;-5;Light Snow
2015/01/21;-2;1;Cloudy;1;4;Mostly Cloudy;1;2;n/a;-2;-1;Snow Grains;-6;-4;Light Snow
2015/01/22;1;4;Drizzle;-3;5;Fair;0;1;n/a;-3;-1;Snow Grains;-13;-6;Cloudy
2015/01/23;-2;2;Light Snow;-6;7;Mostly Cloudy;-3;1;n/a;-4;-3;Mostly Cloudy;-15;-12;Fair
2015/01/24;-2;-1;Cloudy;-1;8;Clear;-1;1;Light Snow;-4;-1;Cloudy;-11;-1;Fair
2015/01/25;-1;2;Cloudy;-3;8;Cloudy;1;3;n/a;-5;0;Mostly Cloudy;-11;-3;Fair
2015/01/26;-2;3;Mostly Cloudy;3;10;Clear;1;3;Light Rain/Windy;-4;1;Light Snow;-7;0;Fair
2015/01/27;-1;3;Mostly Cloudy;3;9;Mostly Cloudy;1;3;n/a;-2;0;Fog;-7;1;Light Snow
2015/01/28;1;4;Clear;2;10;Clear;-1;4;n/a;-2;2;Drizzle;1;2;Fair
2015/01/29;0;3;Cloudy;0;6;Partly Cloudy;1;3;n/a;-1;0;Snow Grains;-1;1;Light Snow
2015/01/30;-3;3;Partly Cloudy;1;7;Clear;1;3;n/a;-1;0;Cloudy;-3;0;Light Snow
