City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2014/02/18;-3;8;Clear;4;10;Fair;2;8;Partly Cloudy;0;3;Drizzle;-2;1;Mostly Cloudy
2014/02/19;2;8;Clear;2;10;Mostly Cloudy;3;7;Partly Cloudy;2;4;Mostly Cloudy;-4;-1;Cloudy
2014/02/20;3;10;Clear;5;12;Clear;5;8;Partly Cloudy;0;2;Light Snow;-5;-2;Light Snow
2014/02/21;1;10;Rain Shower;2;9;Fair;4;8;Light Rain;2;6;Partly Cloudy;-6;0;Partly Cloudy
2014/02/22;1;8;Clear;3;11;Partly Cloudy;4;6;Partly Cloudy;2;4;Light Drizzle;-3;2;n/a
2014/02/23;-2;10;Clear;8;12;Clear;4;9;n/a;3;6;Mostly Cloudy;1;5;Mostly Cloudy
2014/02/24;-4;11;Clear;7;13;Partly Cloudy;2;10;n/a;3;8;Fair;5;8;Fair
2014/02/25;-2;8;Clear;4;11;Fair;-2;5;Fog;0;6;Mostly Cloudy;1;5;Partly Cloudy
2014/02/26;-2;7;Cloudy;1;11;Clear;-3;6;Fog;1;6;Mostly Cloudy;-1;1;Cloudy
2014/02/27;-2;9;Clear;1;11;Clear;2;5;Fog;0;5;Cloudy;0;3;Fair
2014/02/28;-1;8;Clear;1;9;Light Rain;2;4;Fog;0;4;Cloudy;-2;2;Cloudy
2014/03/01;-2;8;Clear;2;9;Clear;2;4;Fog;0;3;Fog;-1;1;Mostly Cloudy
2014/03/02;0;12;Fair;-1;9;Light Rain;1;4;Fog;0;2;Mostly Cloudy;-2;0;Cloudy
2014/03/03;-1;10;Clear;2;8;Clear;1;4;Cloudy;1;4;Mostly Cloudy;-3;1;Fair
2014/03/04;2;9;Clear;-1;10;Partly Cloudy;2;6;Fog;1;8;Fair;-1;2;Mostly Cloudy
2014/03/05;1;10;Partly Cloudy;-2;13;Clear;3;5;Cloudy;-3;4;Cloudy;1;3;Fair
2014/03/06;3;9;Clear;3;12;Clear;0;7;Fog;-4;7;Mostly Cloudy;2;6;Fair
2014/03/07;1;8;Fair;4;15;Clear;0;10;Light Drizzle;3;10;Drizzle/Windy;0;6;Fair
