City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2020/01/01;-3;5;Fair;1;6;Cloudy;1;6;Partly Cloudy / Wind;-2;5;Fair;1;6;Partly Cloudy
2020/01/02;-7;-2;Fog;5;10;Cloudy;1;3;Cloudy / Wind;3;4;Cloudy;3;8;Fair
2020/01/03;-7;6;Cloudy;1;10;Fair;2;6;Partly Cloudy;2;6;Fair;-2;5;Fair
2020/01/04;1;7;Cloudy;1;8;Fair;2;5;Clear / Wind;-1;3;Fair;-2;1;Mostly Cloudy / Wind
2020/01/05;-2;3;Mostly Cloudy;5;8;Mostly Cloudy;0;5;Mostly Cloudy;-4;5;Cloudy;-3;1;Wintry Mix
2020/01/06;-2;3;Mostly Cloudy;5;8;Rain;5;7;Cloudy;5;6;Cloudy;0;3;Fair
2020/01/07;-3;2;Cloudy;2;11;Cloudy;4;7;Cloudy;2;5;Mostly Cloudy;0;4;Partly Cloudy
2020/01/08;0;5;Rain;8;11;Fair;5;7;Clear / Wind;3;8;Fair;1;5;Clear
2020/01/09;4;7;Cloudy;6;12;Partly Cloudy;3;8;Rain;0;3;Mostly Cloudy;-4;1;Clear
2020/01/10;4;10;Mostly Cloudy;2;7;Partly Cloudy;3;9;Rain;-1;2;Mostly Cloudy;-7;-1;Clear
2020/01/11;-2;7;Clear;4;10;Cloudy;2;5;Cloudy / Wind;-2;5;Cloudy / Wind;-5;3;Partly Cloudy
2020/01/12;-2;5;Clear;3;10;Partly Cloudy;3;6;Cloudy;0;7;Fair;-2;3;Clear
2020/01/13;0;5;Fair;3;10;Cloudy;3;7;Partly Cloudy;1;3;Mostly Cloudy;-2;0;Fair
2020/01/14;-1;5;Fair;7;12;Rain / Wind;5;7;Partly Cloudy;2;6;Partly Cloudy;-2;2;Mostly Cloudy
2020/01/15;-2;3;Clear;5;12;Clear;6;9;Cloudy;2;8;Rain;-1;2;Clear
2020/01/16;-2;3;Fair;5;11;Fair;5;7;Mostly Cloudy;3;6;Mostly Cloudy;-2;2;Clear
2020/01/17;-3;6;Clear;2;10;Fair;5;7;Clear;2;6;Fair;0;3;Partly Cloudy
2020/01/18;-1;2;Cloudy;0;7;Fair;5;7;Rain Shower / Wind;2;5;Cloudy;-3;3;Cloudy
2020/01/19;0;3;Mostly Cloudy;-1;6;Sunny;2;6;Clear;-1;3;Clear;-3;2;Fair / Wind
2020/01/20;-2;4;Mostly Cloudy;-2;7;Fair;1;6;Cloudy / Wind;-1;5;Mostly Cloudy;1;9;Partly Cloudy
2020/01/21;-5;0;Mostly Cloudy;-3;7;Fair;5;8;Cloudy / Wind;3;7;Partly Cloudy;0;4;Cloudy / Wind
2020/01/22;-3;1;Cloudy;-1;6;Cloudy;0;7;Clear;-3;5;Clear;0;1;Mostly Cloudy
2020/01/23;-3;3;Partly Cloudy;5;7;Cloudy;-1;6;Cloudy;-3;7;Mostly Cloudy;-1;5;Cloudy
2020/01/24;-5;0;Cloudy;4;6;Light Drizzle;5;6;Cloudy;3;7;Mostly Cloudy;-1;2;Snow Shower / Wind
2020/01/25;-2;0;Mostly Cloudy;3;6;Mist;5;7;Cloudy;2;5;Mostly Cloudy;-2;2;Cloudy
2020/01/26;-1;0;Cloudy;6;9;Rain;3;6;Cloudy;3;5;Mostly Cloudy;-1;5;Cloudy
2020/01/27;-1;6;Mostly Cloudy;5;8;Rain;3;5;Cloudy;2;3;Mostly Cloudy;-1;1;Rain and Snow
2020/01/28;1;7;Partly Cloudy / Wind;2;7;Fair;4;5;Showers in the Vicinity;2;3;Light Rain;-3;0;Cloudy
2020/01/29;0;5;Mostly Cloudy;1;9;Fair;3;6;Cloudy;0;3;Mostly Cloudy;-3;-2;Light Snow
