City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2016/01/01;-3;1;Cloudy;-1;9;Rain Shower;1;3;Cloudy;-2;0;Cloudy;-2;0;Light Snow
2016/01/02;-3;1;Fog;8;11;Cloudy;-3;1;Cloudy;-6;-2;Light Snow;-7;-1;Cloudy
2016/01/03;-6;-3;Cloudy;4;9;Cloudy;-3;-2;Mostly Cloudy;-11;-6;Fair;-14;-7;Fair
2016/01/04;-7;-6;Light Snow;4;10;Fair;-3;0;Cloudy;-10;-6;Mostly Cloudy;-13;-10;Light Snow
2016/01/05;-7;-3;Light Snow/Fog;1;10;Partly Cloudy;-4;0;Clear;-10;-6;Mostly Cloudy;-20;-12;Fair
2016/01/06;-4;-3;Cloudy;2;7;Cloudy;-6;-3;Mostly Cloudy;-18;-9;n/a;-22;-20;Light Snow
2016/01/07;-3;0;Mist;1;10;Sunny;-5;-1;Cloudy/Windy;-18;-5;Light Snow;-20;-19;Light Snow
2016/01/08;-3;5;Clear;-1;10;Sunny;-1;1;Mist;-6;-5;Light Snow;-24;-19;Fair
2016/01/09;-6;-1;Cloudy;5;11;Cloudy;-1;4;Light Rain;-6;-3;Light Snow;-26;-21;n/a
2016/01/10;-2;3;Clear;3;7;Fair;1;3;Mist;-3;1;Mostly Cloudy;-26;-9;Snow
2016/01/11;1;4;Fog;3;8;Rain Shower;2;3;Fog;0;1;Fog;-11;-7;Snow
2016/01/12;3;7;Mostly Cloudy;3;7;Partly Cloudy;1;3;Cloudy;-5;0;Light Snow;-12;-11;Light Snow
2016/01/13;1;5;Mostly Cloudy;2;8;Fair;-6;1;Clear;-18;-4;Mostly Cloudy;-21;-12;Fair
2016/01/14;-2;4;Mostly Cloudy;1;5;Mostly Cloudy;-6;-3;Cloudy;-21;-9;Fair;-24;-20;Fair
2016/01/15;-2;3;Cloudy;0;5;Fair;-6;-2;Clear;-22;-9;Fair;-23;-15;Fair
2016/01/16;-3;-1;Cloudy;-1;4;Sunny;-7;-4;Cloudy;-19;-6;Mostly Cloudy;-16;-11;Fair
2016/01/17;-6;-2;Cloudy;0;4;Cloudy;-7;-4;Sunny;-19;-9;Fair;-12;-3;Light Snow
2016/01/18;-11;-5;Partly Cloudy;-3;4;Sunny;-8;0;Cloudy;-13;-2;Partly Cloudy;-11;-3;Cloudy
2016/01/19;-14;-4;Mostly Cloudy;-5;4;Sunny;-2;0;Cloudy/Windy;-7;-1;Mostly Cloudy;-14;-8;Light Snow Grains
2016/01/20;-12;-2;Mostly Cloudy;-7;6;Sunny;-7;-3;Cloudy;-10;-7;Mostly Cloudy;-11;-6;Light Snow
2016/01/21;-10;-3;Partly Cloudy;-4;8;Sunny;-8;-2;Sunny;-17;-6;Fair;-10;-5;Partly Cloudy
2016/01/22;-15;-6;Clear;5;10;Mostly Cloudy;-5;-2;Mist;-10;-3;Mostly Cloudy;-15;-9;Fair
2016/01/23;-17;3;Cloudy;1;10;Mostly Cloudy;-2;1;Haze;-6;-2;Partly Cloudy;-16;-10;Light Snow
2016/01/24;-1;4;Clear;9;12;Cloudy;-1;2;Fog;-2;2;Mostly Cloudy;-13;-5;Fair
2016/01/25;1;7;Cloudy;6;12;Cloudy;2;4;Fog;1;4;Fog;-11;-2;Fair
2016/01/26;1;9;Clear;5;11;Cloudy;3;6;Mostly Cloudy;2;5;Mostly Cloudy;-4;2;Fair
2016/01/27;5;13;Sunny;6;12;Cloudy;4;6;Cloudy;4;8;Mostly Cloudy;-2;4;Fair
2016/01/28;-1;13;Sunny;-1;9;Partly Cloudy;3;7;Partly Cloudy/Windy;2;7;Partly Cloudy;-5;-1;Fair
