City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2019/01/01;2;7;Cloudy;3;10;Mostly Cloudy;4;7;Cloudy / Wind;2;7;Cloudy / Wind;-3;1;Snow Shower
2019/01/02;-2;2;Cloudy / Wind;2;6;Fair;0;5;Cloudy / Wind;-1;2;Snow / Wind;-5;-1;Clear
2019/01/03;-3;0;Clear;-1;5;Mostly Cloudy;0;1;Cloudy;-2;0;Mostly Cloudy;-2;3;Cloudy
2019/01/04;-4;1;Clear;-1;3;Cloudy;1;5;Cloudy;-1;5;Fair;2;5;Cloudy
2019/01/05;1;6;Cloudy;0;4;Mostly Cloudy;0;4;Clear;-3;3;Partly Cloudy;0;3;Cloudy
2019/01/06;0;3;Cloudy;3;8;Cloudy;-1;2;Clear;0;2;Cloudy;1;3;Cloudy
2019/01/07;-1;3;Wintry Mix;1;10;Fair;1;5;Cloudy;0;2;Cloudy;-1;1;Cloudy
2019/01/08;2;5;Cloudy;2;8;Fair;1;6;Cloudy / Wind;-1;3;Mostly Cloudy;-3;-1;Snow Shower
2019/01/09;0;1;Snow;1;5;Clear;0;2;Cloudy / Wind;-2;-1;Snow Shower;-3;-2;Clear
2019/01/10;-1;1;Cloudy;0;5;Mostly Cloudy;-1;1;Clear;-8;0;Partly Cloudy;-4;5;Partly Cloudy
2019/01/11;-6;0;Mostly Cloudy;3;7;Mostly Cloudy;1;5;Cloudy / Wind;-2;4;Mist;0;2;Cloudy / Wind
2019/01/12;0;3;Snow Shower;5;9;Mostly Cloudy;0;4;Clear;-7;0;Clear;-3;0;Cloudy
2019/01/13;2;6;Rain and Snow;7;11;Partly Cloudy;2;5;Cloudy;-2;2;Cloudy;-6;0;Cloudy
2019/01/14;-1;5;Mostly Cloudy / Wind;3;8;Fair;0;2;Cloudy / Wind;-5;0;Fair;-6;-4;Clear
2019/01/15;-1;4;Cloudy;0;8;Fair;-1;3;Clear / Wind;-5;0;Fair;-10;-5;Clear
2019/01/16;1;6;Rain Shower / Wind;2;8;Mostly Cloudy;2;5;Fair;-2;5;Partly Cloudy;-14;-8;Clear
2019/01/17;1;7;Clear;-2;3;Partly Cloudy;-1;4;Cloudy / Wind;-6;3;Rain;-10;-5;Snow Shower
2019/01/18;-5;3;Cloudy;-3;6;Fair;-3;2;Clear;-9;0;Clear;-7;-5;Fair
2019/01/19;-7;-1;Fair;1;4;Fair;-2;2;Clear;-10;1;Clear;-8;-4;Mostly Cloudy
2019/01/20;-6;-1;Clear;-2;5;Mostly Cloudy;0;1;Mostly Cloudy;-10;0;Mostly Cloudy;-10;-6;Partly Cloudy
2019/01/21;-8;-1;Clear;-6;4;Mist;0;1;Cloudy;-9;0;Cloudy;-17;-10;Clear
2019/01/22;-7;-3;Clear;0;5;Rain;0;1;Cloudy;-2;0;Mist;-15;-12;Cloudy
2019/01/23;-8;-3;Clear;-2;2;Partly Cloudy;-2;1;Partly Cloudy;-8;-1;Mostly Cloudy;-13;-11;Cloudy
2019/01/24;-5;-3;Mostly Cloudy;-5;3;Clear;-3;1;Fair;-11;-2;Clear;-12;-5;Snow Shower
2019/01/25;-5;-2;Snow Shower;-1;11;Mist;-3;-1;Cloudy;-6;-2;Mostly Cloudy;-12;-6;Fair
2019/01/26;-3;3;Light Snow;5;9;Mostly Cloudy;-2;0;Cloudy;-10;-5;Cloudy;-11;-7;Cloudy
2019/01/27;2;6;Cloudy;2;7;Rain;0;2;Cloudy / Wind;-6;-1;Cloudy;-12;-10;Snow Shower
2019/01/28;1;3;Fair;-3;5;Fair;1;3;Cloudy;-1;0;Snow;-11;-7;Snow Shower
2019/01/29;-2;3;Cloudy;-3;5;Fair;-1;2;Cloudy;-16;0;Mostly Cloudy;-11;-8;Snow Shower
